,,marketConfig,,,,,,,,,loanConfig,,,underlyingConfig,,,,,collateralConfig,,,,,
Market Type,salt,treasur,maturity,lendTakerFeeRatio,lendMakerFeeRatio,borrowTakerFeeRatio,borrowMakerFeeRatio,issueFtFeeRatio,mintGtFeeRef,redeemFeeRatio,liquidationLtv,maxLtv,liquidatable,tokenAddr,name,symbol,decimals,initialPrice,tokenAddr,name,symbol,decimals,initialPrice,gtKeyIdentifier
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,94000000,90000000,TRUE,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Wrapped ETH,WETH,18,1940.41,0x0fBcbaEA96Ce0cF7Ee00A8c19c3ab6f5Dc8E1921,Wrapped liquid staked Ether 2.0,wstETH,18,2322.15,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,85000000,81000000,TRUE,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USD Coin,USDC,6,1,0x0fBcbaEA96Ce0cF7Ee00A8c19c3ab6f5Dc8E1921,Wrapped liquid staked Ether 2.0,wstETH,18,2322.15,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,86000000,82000000,TRUE,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USD Coin,USDC,6,1,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,Wrapped BTC,WBTC,8,83251.43,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,93000000,89000000,TRUE,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Wrapped ETH,WETH,18,1940.41,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,Wrapped eETH,weETH,18,2061.62,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,86000000,82000000,TRUE,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USD Coin,USDC,6,1,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Wrapped ETH,WETH,18,1940.41,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,70000000,60000000,TRUE,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,USD Coin,USDC,6,1,0x912CE59144191C1204E64559FE8253a0e49E6548,Arbitrum,ARB,18,0.36,GearingTokenWithERC20
Leverage,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1750982400,2000000,2000000,3000000,3000000,1000000,400000,0,94000000,90000000,TRUE,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Wrapped ETH,WETH,18,1940.41,0xb33808ea0e883138680BA29311a220A7377cdb92,PT weETH 26JUN2025,PT-weETH-26JUN2025,18,1923.22,GearingTokenWithERC20
